title,authors,date,num_references
From Fog to Smog: The Value of Pollution Information,"Panle Jia Barwick , Shanjun Li , Liguo Lin , and Eric Yongchen Zou",May 2024,220
Fighting Climate Change: International Attitudes toward Climate Policies,"Antoine Dechezleprêtre , Adrien Fabre , Tobias Kruse , Bluebery Planterose , Ana Sanchez Chico , and Stefanie Stantcheva",April 2025,215
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"Mark T. Buntaine , Michael Greenstone , Guojun He , Mengdi Liu , Shaoda Wang , and Bing Zhang",March 2024,213
The Effect of Macroeconomic Uncertainty on Household Spending,"Olivier Coibion , Dimitris Georgarakos , Yuriy Gorodnichenko , Geoff Kenny , and Michael Weber",March 2024,173
Market Power and Innovation in the Intangible Economy,Maarten De Ridder,January 2024,151
On Binscatter,"Matias D. Cattaneo , Richard K. Crump , Max H. Farrell , and Yingjie Feng",May 2024,147
When Tariffs Disrupt Global Supply Chains,"Gene M. Grossman , Elhanan Helpman , and Stephen J. Redding",April 2024,142
"Data, Competition, and Digital Platforms",Dirk Bergemann and Alessandro Bonatti,August 2024,89
Regulating Conglomerates: Evidence from an Energy Conservation Program in China,"Qiaoyi Chen , Zhao Chen , Zhikuo Liu , Juan Carlos Suárez Serrato , and Daniel Yi Xu",February 2025,88
The Social Costs of Keystone Species Collapse: Evidence from the Decline of Vultures in India,Eyal Frank and Anant Sudarshan,October 2024,82
Creating Moves to Opportunity: Experimental Evidence on Barriers to Neighborhood Choice,"Peter Bergman , Raj Chetty , Stefanie DeLuca , Nathaniel Hendren , Lawrence F. Katz , and Christopher Palmer",May 2024,82
Personalized Pricing and Competition,Andrew Rhodes and Jidong Zhou,July 2024,77
100 Years of Rising Corporate Concentration,"Spencer Y. Kwon , Yueran Ma , and Kaspar Zimmermann",July 2024,76
Decisions under Risk Are Decisions under Complexity,Ryan Oprea,December 2024,75
The Flight to Safety and International Risk Sharing,Rohan Kekre and Moritz Lenel,June 2024,69
The Immigrant Next Door,"Leonardo Bursztyn , Thomas Chaney , Tarek A. Hassan , and Aakaash Rao",February 2024,69
Status Externalities in Education and Low Birth Rates in Korea,"Seongeun Kim , Michèle Tertilt , and Minchul Yum",June 2024,68
"How Competitive Is the Stock Market? Theory, Evidence from Portfolios, and Implications for the Rise of Passive Investing","Valentin Haddad , Paul Huebner , and Erik Loualiche",March 2025,55
Financial Technology Adoption: Network Externalities of Cashless Payments in Mexico,Sean Higgins,November 2024,54
Contamination Bias in Linear Regressions,"Paul Goldsmith-Pinkham , Peter Hull , and Michal Kolesár",December 2024,51
"Shocks, Frictions, and Inequality in US Business Cycles","Christian Bayer , Benjamin Born , and Ralph Luetticke",May 2024,50
In Harm's Way? Infrastructure Investments and the Persistence of Coastal Cities,Clare Balboni,January 2025,47
Nobel Lecture: An Evolving Economic Force,Claudia Goldin,June 2024,47
Demographic Origins of the Start-up Deficit,"Fatih Karahan , Benjamin Pugsley , and Ayşegül Şahin",July 2024,46
Information Technology and Returns to Scale,"Danial Lashkari , Arthur Bauer , and Jocelyn Boussard",June 2024,45
The Long-Run Effects of Government Spending,Juan Antolin-Diaz and Paolo Surico,July 2025,44
A Framework for Economic Growth with Capital-Embodied Technical Change,Benjamin F. Jones and Xiaojie Liu,May 2024,43
Revealing Stereotypes: Evidence from Immigrants in Schools,"Alberto Alesina , Michela Carlana , Eliana La Ferrara , and Paolo Pinotti",July 2024,42
Organized Crime and Economic Growth: Evidence from Municipalities Infiltrated by the Mafia,Alessandra Fenizia and Raffaele Saggio,July 2024,42
Local Economic and Political Effects of Trade Deals: Evidence from NAFTA,"Jiwon Choi , Ilyana Kuziemko , Ebonya Washington , and Gavin Wright",June 2024,42
The Gender Gap in Confidence: Expected but Not Accounted For,Christine L. Exley and Kirby Nielsen,March 2024,42
Strengthening State Capacity: Civil Service Reform and Public Sector Performance during the Gilded Age,Abhay Aneja and Guo Xu,August 2024,40
Mental Models and Learning: The Case of Base-Rate Neglect,"Ignacio Esponda , Emanuel Vespa , and Sevgi Yuksel",March 2024,39
Corporate Discount Rates,Niels Joachim Gormsen and Kilian Huber,June 2025,37
Do Credit Conditions Move House Prices?,Daniel L. Greenwald and Adam Guren,October 2025,36
Universalism: Global Evidence,"Alexander W. Cappelen , Benjamin Enke , and Bertil Tungodden",January 2025,36
Merchants of Death: The Effect of Credit Supply Shocks on Hospital Outcomes,"Cyrus Aghamolla , Pinar Karaca-Mandic , Xuelin Li , and Richard T. Thakor",November 2024,36
Misallocation under Trade Liberalization,"Yan Bai , Keyu Jin , and Dan Lu",July 2024,36
"Learning by Necessity: Government Demand, Capacity Constraints, and Productivity Growth",Ethan Ilzetzki,August 2024,35
Efficiency and Equity Impacts of Urban Transportation Policies with Equilibrium Sorting,"Panle Jia Barwick , Shanjun Li , Andrew Waxman , Jing Wu , and Tianli Xia",October 2024,34
Universal Basic Income: A Dynamic Assessment,Diego Daruich and Raquel Fernández,January 2024,32
Resisting Social Pressure in the Household Using Mobile Money: Experimental Evidence on Microenterprise Investment in Uganda,Emma Riley,May 2024,31
The Nurture of Nature and the Nature of Nurture: How Genes and Investments Interact in the Formation of Skills,"Mikkel Aagaard Houmark , Victor Ronda , and Michael Rosholm",February 2024,31
"When Do ""Nudges"" Increase Welfare?","Hunt Allcott , Daniel Cohen , William Morrison , and Dmitry Taubinsky",May 2025,30
Retirement Consumption and Pension Design,"Jonas Kolsrud , Camille Landais , Daniel Reck , and Johannes Spinnewijn",January 2024,30
"Nobel Lecture: Institutions, Technology, and Prosperity",Daron Acemoglu,June 2025,29
Whatever It Takes? The Impact of Conditional Policy Promises,"Valentin Haddad , Alan Moreira , and Tyler Muir",January 2025,29
"Old Age Risks, Consumption, and Insurance","Richard Blundell , Margherita Borella , Jeanne Commault , and Mariacristina De Nardi",February 2024,28
Product Differentiation and Oligopoly: A Network Approach,Bruno Pellegrino,April 2025,27
Internationalizing Like China,"Christopher Clayton , Amanda Dos Santos , Matteo Maggiori , and Jesse Schreger",March 2025,27
"Bank Runs, Fragility, and Credit Easing",Manuel Amador and Javier Bianchi,July 2024,27
The Economic Impact of Depression Treatment in India: Evidence from Community-Based Provision of Pharmacotherapy,Manuela Angelucci and Daniel Bennett,January 2024,27
"The Geographic Flow of Bank Funding and Access to Credit: Branch Networks, Synergies, and Local Competition","Victor Aguirregabiria , Robert Clark , and Hui Wang",June 2025,26
Polity Size and Local Government Performance: Evidence from India,Veda Narasimhan and Jeffrey Weaver,November 2024,26
Spending and Job-Finding Impacts of Expanded Unemployment Benefits: Evidence from Administrative Micro Data,"Peter Ganong , Fiona Greig , Pascal Noel , Daniel M. Sullivan , and Joseph Vavra",September 2024,26
"Long-Run Trends in Long-Maturity Real Rates, 1311–2022","Kenneth S. Rogoff , Barbara Rossi , and Paul Schmelzing",August 2024,26
Five Facts about MPCs: Evidence from a Randomized Experiment,"Johannes Boehm , Etienne Fize , and Xavier Jaravel",January 2025,25
Long-Run Effects of Incentivizing Work after Childbirth,Elira Kuka and Na'ama Shenhav,June 2024,25
Motivated Errors,Christine L. Exley and Judd B. Kessler,April 2024,25
Trade Shocks and Credit Reallocation,"Stefano Federico , Fadi Hassan , and Veronica Rappoport",April 2025,24
Optimally Imprecise Memory and Biased Forecasts,"Rava Azeredo da Silveira , Yeji Sung , and Michael Woodford",October 2024,24
Local Productivity Spillovers,"Nathaniel Baum-Snow , Nicolas Gendron-Carrier , and Ronni Pavan",April 2024,24
Asset-Based Microfinance for Microenterprises: Evidence from Pakistan,Faisal Bari ⓡ Kashif Malik ⓡ Muhammad Meki ⓡ Simon Quinn,February 2024,24
Start-up Costs and Market Power: Lessons from the Renewable Energy Transition,Akshaya Jha and Gordon Leslie,February 2025,23
Women Left Behind: Gender Disparities in Utilization of Government Health Insurance in India,Pascaline Dupas and Radhika Jain,October 2024,23
Breaking Gender Barriers: Experimental Evidence on Men in Pink-Collar Jobs,Alexia Delfino,June 2024,23
Anticipatory Anxiety and Wishful Thinking,"Jan B. Engelmann , Maël Lebreton , Nahuel A. Salem-Garcia , Peter Schwardmann , and Joël J. van der Weele",April 2024,23
Market-Wide Predictable Price Pressure,Samuel M. Hartzmark and David H. Solomon,September 2025,22
Moonshot: Public R&D and Growth,Shawn Kantor and Alexander Whalley,September 2025,21
Cultural Distance and Ethnic Civil Conflict,Eleonora Guarnieri,April 2025,21
The Opportunity Cost of Debt Aversion,Alejandro Martínez-Marquina and Mike Shi,April 2024,21
Nurturing Childhood Curiosity to Enhance Learning: Evidence from a Randomized Pedagogical Intervention,Sule Alan and Ipek Mumcu,April 2024,21
Default Options and Retirement Saving Dynamics,Taha Choukhmane,November 2025,20
"Political Correctness, Social Image, and Information Transmission",Luca Braghieri,December 2024,20
The Dynamic Consequences of State Building: Evidence from the French Revolution,"Cédric Chambru , Emeric Henry , and Benjamin Marx",November 2024,20
Task-Based Discrimination,"Erik Hurst , Yona Rubinstein , and Kazuatsu Shimizu",June 2024,20
Urban Public Works in Spatial Equilibrium: Experimental Evidence from Ethiopia,"Simon Franklin , Clément Imbert , Girum Abebe , and Carolina Mejia-Mantilla",May 2024,20
Pricing Power in Advertising Markets: Theory and Evidence,"Matthew Gentzkow , Jesse M. Shapiro , Frank Yang , and Ali Yurukoglu",February 2024,20
Disentangling Moral Hazard and Adverse Selection,"Henrique Castro-Pires , Hector Chade , and Jeroen Swinkels",January 2024,20
The Price of Power: Costs of Political Corruption in Indian Electricity,Meera Mahadevan,October 2024,19
Gender Differences in Medical Evaluations: Evidence from Randomly Assigned Doctors,Marika Cabral and Marcus Dillender,February 2024,19
When Product Markets Become Collective Traps: The Case of Social Media,"Leonardo Bursztyn , Benjamin Handel , Rafael Jiménez-Durán , and Christopher Roth",December 2025,18
"Power Flows: Transmission Lines, Allocative Efficiency, and Corporate Profits",Catherine Hausman,August 2025,18
Innovative Ideas and Gender (In)equality,Marlène Koffi,July 2025,18
Hub-and-Spoke Cartels: Theory and Evidence from the Grocery Industry,"Robert Clark , Ig Horstmann , and Jean-François Houde",March 2024,18
Imperfect Competition and Rents in Labor and Product Markets: The Case of the Construction Industry,"Kory Kroft , Yao Luo , Magne Mogstad , and Bradley Setzler",September 2025,17
Beliefs in Repeated Games: An Experiment,"Masaki Aoyagi , Guillaume R. Fréchette , and Sevgi Yuksel",December 2024,17
A Discrimination Report Card,"Patrick Kline , Evan K. Rose , and Christopher R. Walters",August 2024,17
"The Gift of a Lifetime: The Hospital, Modern Medicine, and Mortality","Alex Hollingsworth , Krzysztof Karbownik , Melissa A. Thomasson , and Anthony Wray",July 2024,17
Is Journalistic Truth Dead? Measuring How Informed Voters Are about Political News,Charles Angelucci and Andrea Prat,April 2024,17
Land Rental Markets: Experimental Evidence from Kenya,"Michelle Acampora , Lorenzo Casaburi , and Jack Willis",March 2025,16
The Decline of Too Big to Fail,"Antje Berndt , Darrell Duffie , and Yichao Zhu",March 2025,16
The Benefits of Revealing Race: Evidence from Minority-Owned Local Businesses,"Abhay Aneja , Michael Luca , and Oren Reshef",February 2025,16
Dynamic Inconsistency in Risky Choice: Evidence from the Lab and Field,"Rawley Heimer , Zwetelina Iliewa , Alex Imas , and Martin Weber",January 2025,16
Sufficient Statistics for Nonlinear Tax Systems with General Across-Income Heterogeneity,"Antoine Ferey , Benjamin B. Lockwood , and Dmitry Taubinsky",October 2024,16
"Rising Top, Falling Bottom: Industries and Rising Wage Inequality","John Haltiwanger , Henry R. Hyatt , and James R. Spletzer",October 2024,16
Arbitraging Covered Interest Rate Parity Deviations and Bank Lending,Lorena Keller,September 2024,16
Place-Based Redistribution,"Cecile Gaubert , Patrick Kline , Damian Vergara , and Danny Yagan",October 2025,15
Home Price Expectations and Spending: Evidence from a Field Experiment,"Felix Chopra , Christopher Roth , and Johannes Wohlfart",July 2025,15
The Global Financial Resource Curse,"Gianluca Benigno , Luca Fornaro , and Martin Wolf",January 2025,15
A Technology-Gap Model of 'Premature' Deindustrialization,Ippei Fujiwara and Kiminori Matsuyama,November 2024,15
Indirect Effects of Access to Finance,Jing Cai and Adam Szeidl,August 2024,15
The Economics of the Public Option: Evidence from Local Pharmaceutical Markets,"Juan Pablo Atal , José Ignacio Cuesta , Felipe González , and Cristóbal Otero",March 2024,15
Distinguishing Common Ratio Preferences from Common Ratio Effects Using Paired Valuation Tasks,"Christina McGranaghan , Kirby Nielsen , Ted O'Donoghue , Jason Somerville , and Charles D. Sprenger",February 2024,15
Politics at Work,"Emanuele Colonnelli , Valdemar Pinho Neto , and Edoardo Teso",October 2025,14
The Debt-Inflation Channel of the German (Hyper) Inflation,"Markus Brunnermeier , Sergio Correia , Stephan Luck , Emil Verner , and Tom Zimmermann",July 2025,14
Micro Risks and (Robust) Pareto-Improving Policies,"Mark Aguiar , Manuel Amador , and Cristina Arellano",November 2024,14
Financial Access and Labor Market Outcomes: Evidence from Credit Lotteries,"Bernardus Van Doornik , Armando Gomes , David Schoenherr , and Janis Skrastins",June 2024,14
The Political Development Cycle: The Right and the Left in People's Republic of China from 1953,"Anton Cheremukhin , Mikhail Golosov , Sergei Guriev , and Aleh Tsyvinski",April 2024,14
Selling Subscriptions,"Liran Einav , Ben Klopack , and Neale Mahoney",May 2025,13
"Fragile New Economy: Intangible Capital, Corporate Savings Glut, and Financial Instability",Ye Li,April 2025,13
Prolonged Learning and Hasty Stopping: The Wald Problem with Ambiguity,"Sarah Auster , Yeon-Koo Che , and Konrad Mierendorff",February 2024,13
"Quid Pro Quo, Knowledge Spillovers, and Industrial Quality Upgrading: Evidence from the Chinese Auto Industry","Jie Bai , Panle Jia Barwick , Shengmao Cao , and Shanjun Li",November 2025,12
Monopsony and Employer Misoptimization Explain Why Wages Bunch at Round Numbers,"Arindrajit Dube , Alan Manning , and Suresh Naidu",August 2025,12
